CCC	Chaos Computer Club
CSS	Cascading Style Sheets
DRY	Don't Repeat Yourself
GRDDL	Gleaning Resource Descriptions from Dialects of Languages
HTML	HyperText Markup Language
HTML5	HyperText Markup Language, version 5
Sass	Syntactically Awesome StyleSheets
SEO	Search Engine Optimisation
SVG	Scalable Vector Graphics
RDF	Resource Description Framework
W3C	World Wide Web Consortium
XHTML	eXtensible Hypertext Markup Language
XML	eXtensible Markup Language
XSLT	Extensible Stylesheet Language Transformations
